,,,,,,,
A  9,,,,Roaratorio (complete),CAGE,John,complete
A 21,,,,"Reading, Vol. Iv: A Visit To America",VARIOUS,,"poems by W. H. Auden, Henry Reed, Edward Thomas, Thomas Hardy"
A 30,,,,"Biopsis V 66 ""QUEL Age Avez-Vous?""",HEIDSIECK,B,"Includes:  F. Dufrene's CRIRHTHME 67 ""DEDIE A H. CHOPIN, Gil J. Wolman'S megapneumes 67 ""LA MEMOIRE"", Henri Chopin's AUDIO-POEME 67 ""LA VENTRE DE BERTINI"""
A 40,,,,"Schallspielstudie I, Alea",PORTNER,Paul,
A 50,,,,"Prism, Xxviii/4 (1990)",VARIOUS,,"w/ Theresa Clark & Carletta Wilson, Attila the Stockbroker, Peter Courtemanche, Scott MacLeod, G. P. Skratz & Bob Davis; Steve McCaffrey, Dick Bakken, Wes Robertson, bill bissett, Howard Broomfield, Jay O'Callahan"
A 60,,,,Sound Poems (1991),SHERWOOD,Kenneth,
A 70,,,,Thanks/Danke,MAC LOW,Jackson,"1983, WDR, w/ Tardos,"
A 84,,,,Poetry,HUGHES,Langston,Poems read by Ossie Davis & Ruby Dee
B 16,,,,Steve (1970),LINBLAD,Rune,
B 30,,,,Untitled,GREENHAM,Lily,"Interview (1979) and LINGUAL MUSIC, RELATIVITY, SEVEN CONSONANTS, TRAFFIC, SEASCAPE"
B 40,,,,"What We Wukkers Want, One Step To The Next, Etc",McCAFFERY,Steve,
B 49,,,,"Analog, Anywhere/What Port Manteau",FISHBEIN,Sue,
B 61,,,,Portrait,ROBESON,Ernest,"from NPR's Morning Edition, 5/7/87"
B 71,Tape from Radio,,,Untitled,MILANOV,Zinka (1906-1989): via WCKR & Cantor Don Goldberg,"MILANOV, Zinka (1906-1989): via WCKR & Cantor Don Goldberg, w/ ZM (a favorite of John Cone’s) in G. Verdi’s Requiem cond. A. Toscanini, rec. Milan, 1938; familiar arias from LA TRAVIATA W/ Jan Pearce & Leonard Warren From mid-1940s, w/ Jussi B.; in Nile Scene from Verdi’s AIDA, w/ Boris Christoff & Leonard Warren, two scenes from NORMA (NBC Symp.), incpl., WB 18, cont’d on WB 15
- -In 1950s, for 30 min, slightly incpl., WB 15MIXED DOUBLES (Australian), w/ Jas Duke, Andree Greenwell, Rainer Lin, Ross Bolleter, Arf Arf, Jon Rose, Caroline Winkins, Simone de Haan, Amanda Stewart (who gave me the tape), Herber Jercher, Ernie Althoff, Graeme Davis, Rodney Berry"
B B7,,,,Early Dada Poems,HAUSMANN,Raoul,"Early Dada Poems, R.L.Q.S, Varie en 3 Cascades, SOUNDREEL, interview avec les Lettrists,"
C  7,,,,Untitled,S.E.M. ENSEMBLE,,"Includes: (Feb. 6, 1990, Spoken Music, w/ Dick Higgins' THE SOUND OF THE ANIMALS DYING THIRTEEN TO ONE (1959), Emmett Williams' FOUR-DIRECTIONAL SONG OF DOUBT FOR FIVE VOICES (1957), Anne Tardos' FOR BRIAN BUCZAK (1987), Jackson Mac Low's LOW ORDER TRAVESTIES (1989), John Cage's EMPTY WORDS (1979), MAC LOW'S THE HAPPY BIRTHDAY, ANNE, VOCABULARY GATHAS (1982), Higgins' QUARTET (1989), Emmett Williams' CELLAR SONG FOR FIVE VOICES (1959)"
C 15,,,,Exvoco,VARIOUS,,"live reading at Kulturhuset Stockholm (April 1983) and on RIAS (January 1984) of Max Bense, R. Hausmann, L. Berio, F. T. Marinetti, K. Schwitters, John Cage/Erik Satie, L., Novak, A. Artaud, R. Huelsenback/M. Janko/T. Tzara, Hans Arp/W. Serner/Tzara"
C 21,,,,Untitled,WENDT,Larry,collaborations with Dominic Alleluia
C 29,,,,Exvoco,VARIOUS,,"from Tim Wilson, w/ Bense, Hausmann, M. Kagel, P. Albert-Birot, Tzara/Hulsenbeck/Janco, M. Lemaitre, H. Chopin, L. Novak, K. Schwitters"
C 33,,,,Phonetische Poesie,VARIOUS,,"w/ Klebnikov, Kruchenyk, Malevich, Hausmann, Schwitters, Schwitters, M. Lemaitre, Dugrene, H. Chopin, B. Cobbings, P. Greenham, P. de Vree, A. Lora-Totino, L. Novak"
C 41,,,,Untitled,McFERREN,Bobby,"w/ Andre Previn, incl. Bach's Air on a G-string & conclusion of WIZARD OF OD,"
C 51,,,,The Autobiographies Of Dick Turpin (Underwhich),FENCOTT,P. E.,
C 58,,,,Selected Poems,ROBESON,Ernest,
C 70,,,,Iceland Symphony,VARIOUS,,"VEC (Holland) THE VEC ILLUSTRATED HISTORY OF AUDIO ART (1983), CASTLES ON THE MOON, SHOWER II (1982), JUST LISTEN TO IT (1981)"
C 80,,,,Tellus # 1,VARIOUS,,"w/ Jody Harris, Jerry Lindahl, Sonic Youth, Brenda Hutchinson's WORDPLAY, Live Skull, Tom Lopez, Bradley Eros, Bruce Tovsky, Gretchen Langheld, Mitch Corber, J. Nechvatal, Vergo Piersol, David Linton, Tron von Hollywood, Rhys Chatham (w/ Glenn Branca, Nina Canal, Wharton Tiers)"
