catno,artist_last,artist_first,title,label,format,year,release_id
,CAGE,John,Roaratorio (complete),,,,
,VARIOUS,,"Reading, Vol. Iv: A Visit To America",,,,
,HEIDSIECK,B,"Biopsis V 66 ""QUEL Age Avez-Vous?""",,,,
,PORTNER,Paul,"Schallspielstudie I, Alea",,,,
,VARIOUS,,"Prism, Xxviii/4 (1990)",,,,
,SHERWOOD,Kenneth,Sound Poems (1991),,,,
,MAC LOW,Jackson,Thanks/Danke,,,,
,HUGHES,Langston,Poetry,,,,
,LINBLAD,Rune,Steve (1970),,,,
,GREENHAM,Lily,Untitled,,,,
,McCAFFERY,Steve,"What We Wukkers Want, One Step To The Next, Etc",,,,
,FISHBEIN,Sue,"Analog, Anywhere/What Port Manteau",,,,
,ROBESON,Ernest,Portrait,,,,
,MILANOV,Zinka (1906-1989): via WCKR & Cantor Don Goldberg,Untitled,,Tape from Radio,,
,HAUSMANN,Raoul,Early Dada Poems,,,,
,S.E.M. ENSEMBLE,,Untitled,,,,
,VARIOUS,,Exvoco,,,,
,WENDT,Larry,Untitled,,,,
,VARIOUS,,Exvoco,,,,
,VARIOUS,,Phonetische Poesie,,,,
,McFERREN,Bobby,Untitled,,,,
,FENCOTT,P. E.,The Autobiographies Of Dick Turpin (Underwhich),,,,
,ROBESON,Ernest,Selected Poems,,,,
,VARIOUS,,Iceland Symphony,,,,
,VARIOUS,,Tellus # 1,,,,
